area,buildingName,buildingNum,buildingYear,category,checkDay,checkNum,checkType,createDate,createUserId,createUserName,csfs,dhyh,dtwx,dtwxyzpsyzqx,dzsbps,equipmentTypeName,ewa,fileList,files,floor,ids,inDate,isProblemSituation,isType,lastMileage,lat,lineName,lng,lyState,modifyDate,modifyUserId,modifyUserName,num,pieces,qrCode,qtps,remark,rlId,septicTankNum,siteInstallation,snsbps,state,stationId,stationName,structureType,tebId,technologyState,type,useDepart,useType,workareaDepartId,workareaDepartName,workshopDepartId,workshopDepartName,xfsbps,ybfsbxdhyh,yzfs,yzjsdmjkwbp,yzly,yzlyybqx
20,1-2站台端头栏杆,站-20,,,,,,1.759116563566e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760687712986e+12,770,宋红根,27277,,https://ncjnas.coolmitech.com:50443/123/bf88563bcecace550359223e896aeb63?objectKey=nas/ncfjd/tlsbgl/2025/10/17/1760716510776_76807190.png&expireTime=1762412935380&signature=YRrxK4R4r4Q3FPEsWfVyCpO5IJvd62SxjAo7ka3Q3uD,,,70,,,,1,112,兴国西站,不锈钢,37214,一级,1,赣州车务段,围墙、栅栏（含玻璃栏板、站台端头栏杆）,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
105,信号楼围墙,公-1,,,,,,1.759117339674e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760925950343e+12,770,宋红根,27223,,https://ncjnas.coolmitech.com:50443/123/a1f5e52e80e19353322fabeb5d847752?objectKey=nas/ncfjd/tlsbgl/2025/10/20/1760954749064_49228245.png&expireTime=1762412935381&signature=Etsq7pednxZt6hhBPGcNNP2mTfapdaLb1l2SSu66oy5,,,70,,,,1,112,兴国西站,砖,37221,一级,1,赣州工务段,围墙、栅栏（含玻璃栏板、站台端头栏杆）,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
18,车站单身宿舍晾衣棚,公-16,,,,,,1.759118585241e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760945886155e+12,770,宋红根,27237,,https://ncjnas.coolmitech.com:50443/123/a6bd5c477a27cff3798f2e392fb6df6a?objectKey=nas/ncfjd/tlsbgl/2025/10/20/1760974684766_00675719.png&expireTime=1762412935383&signature=Zoype2QPz1rrlq9NcimzSLiuc3vuRboDu8lrCFt4gTx,,,70,,,,1,112,兴国西站,钢,37233,一级,1,赣州车务段,道路、广场、地面硬化,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
35.7,信号楼羽毛球场,公-3,,,,,,1.759117551925e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760925983834e+12,770,宋红根,27225,,https://ncjnas.coolmitech.com:50443/123/dcbe785f91473a6617108c61d7d252eb?objectKey=nas/ncfjd/tlsbgl/2025/10/20/1760954782639_73743200.png&expireTime=1762412935385&signature=4SigWhPCVRVImraixZwfdBStrktlsWfHCrFrKiL9bGw,,,70,,,,1,112,兴国西站,混凝土,37223,一级,1,赣州工务段,室外篮球场,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
149.9,兴国西配电所硬化面,公-20,,,,,,1.759118997196e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760946035694e+12,770,宋红根,27241,,https://ncjnas.coolmitech.com:50443/123/ef9481fd1d9793adc3e2f58ea204f012?objectKey=nas/ncfjd/tlsbgl/2025/10/20/1760974834635_01100340.png&expireTime=1762412935386&signature=81JAyjreL6hxMA6kI5PYUtE0LEebjGWbuUSu8v6DmGN,,,70,,,,1,112,兴国西站,混凝土,37236,一级,1,赣州工务段,道路、广场、地面硬化,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
40,DK319+320区间基站围墙,27-1,,,,,,1.759121843648e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760946211641e+12,770,宋红根,27511,,https://ncjnas.coolmitech.com:50443/123/72f86aa2bad9125d5149380dca1b3260?objectKey=nas/ncfjd/tlsbgl/2025/10/20/1760975008008_20393710.png&expireTime=1762412935387&signature=fZdNDPzUjNFYSPFasKJcxeosqd7FHtFfRstdsH4q0Hf,,,70,,,,1,112,兴国西站,混凝土,37265,一级,1,南昌通信段,围墙、栅栏（含玻璃栏板、站台端头栏杆）,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
82,兴国西给水加压站围墙,公-22,,,,,,1.759119083828e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760946540527e+12,770,宋红根,27243,,https://ncjnas.coolmitech.com:50443/123/2ffa7624d44f788c9f50c55f340944d7?objectKey=nas/ncfjd/tlsbgl/2025/10/20/1760975339558_38832629.png&expireTime=1762412935389&signature=x461Fy7PpidKtqJZalgo2y3AJpvPixjllyoFK3KAUA5,,,70,,,,1,112,兴国西站,砖,37237,二级,1,赣州车务段,围墙、栅栏（含玻璃栏板、站台端头栏杆）,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
74.5,兴国西给水加压站道路,公-23,,,,,,1.759119185422e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760946607657e+12,770,宋红根,27244,,https://ncjnas.coolmitech.com:50443/123/8c53ac450507c9207a31adf9ccbb9811?objectKey=nas/ncfjd/tlsbgl/2025/10/20/1760975406076_29679933.png&expireTime=1762412935390&signature=08ZeD3SwN8VlCGH5QF61PA84mnobA0UYuWoxoDlZnsT,,,70,,,,1,112,兴国西站,混凝土,37238,一级,1,赣州车务段,道路、广场、地面硬化,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
72,兴国西污水处理站围墙,公-26,,,,,,1.759119293813e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760946811487e+12,770,宋红根,27247,,https://ncjnas.coolmitech.com:50443/123/043197e7ff81ced3da9db6a580663180?objectKey=nas/ncfjd/tlsbgl/2025/10/20/1760975610495_16659208.png&expireTime=1762412935391&signature=naBLotQppKHiQgKPmwPyKmjFyKsSVopLllCp0N38Rmx,,,70,,,,1,112,兴国西站,砖,37239,一级,1,赣州工务段,围墙、栅栏（含玻璃栏板、站台端头栏杆）,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
72,兴国西污水处理站道路,公-27,,,,,,1.759119388722e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760946934504e+12,770,宋红根,27248,,https://ncjnas.coolmitech.com:50443/123/97481a431ddfaa86f62edb8918b8fa7e?objectKey=nas/ncfjd/tlsbgl/2025/10/20/1760975733428_11784874.png&expireTime=1762412935392&signature=kzvvuxfUhFVF4Mr4j4FqHJJ781t2suVZiLuS6qegPxS,,,70,,,,1,112,兴国西站,混凝土,37240,一级,1,赣州工务段,道路、广场、地面硬化,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
20,轨道车库及机具材料库硬化面,公-35,,,,,,1.759119583443e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760947157106e+12,770,宋红根,27254,,https://ncjnas.coolmitech.com:50443/123/5901b9986bdb150a528bb74640845fda?objectKey=nas/ncfjd/tlsbgl/2025/10/20/1760975947587_88555657.png&expireTime=1762412935394&signature=ZuvR8IFVxJj6kfbsiFPaBB1LI4UFcJU1mXyriKcGVoV,,,70,,,,1,112,兴国西站,混凝土,37242,一级,1,赣州工务段,道路、广场、地面硬化,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
70.4,综合办公楼硬化面,公-36,,,,,,1.759119672085e+12,770,宋红根,,,,,,,,,,,,2025-09-29,,,,,京港高速线,,,1.760947250398e+12,770,宋红根,27255,,https://ncjnas.coolmitech.com:50443/123/5c20d7ddb9c72feeab20252563fa1fcf?objectKey=nas/ncfjd/tlsbgl/2025/10/20/1760976049367_24689992.png&expireTime=1762412935395&signature=EITtdJSEHi86g9X0OH7i5hMhLycERNIa5EtVUZh4cDJ,,,70,,,,1,112,兴国西站,混凝土,37243,一级,1,赣州工务段,道路、广场、地面硬化,154,赣州西高铁综合工区,138,赣州西高铁房建车间,,,,,,
